Date,Price,Volume,Market,Volatility,Price-to-Volume Ratio,SMA_50,OpenMarket,year,month,day
2017-01-01,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,1
2017-01-02,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,2
2017-01-03,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,3
2017-01-04,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,4
2017-01-05,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,5
2017-01-06,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,6
2017-01-07,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,7
2017-01-08,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,8
2017-01-09,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,9
2017-01-10,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,10
2017-01-11,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,11
2017-01-12,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,12
2017-01-13,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,13
2017-01-14,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,14
2017-01-15,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,15
2017-01-16,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,16
2017-01-17,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,17
2017-01-18,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,18
2017-01-19,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,19
2017-01-20,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,20
2017-01-21,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,21
2017-01-22,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,22
2017-01-23,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,23
2017-01-24,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,24
2017-01-25,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,25
2017-01-26,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,26
2017-01-27,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,27
2017-01-28,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,28
2017-01-29,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,29
2017-01-30,0.0,0.0,Bitcoin,0.0,0.0,0.0,0,2017,1,30
2017-01-31,970.4030151367188,164582000.0,Bitcoin,0.0513346388475089,5.896167352059877e-06,1110.7160766601562,1,2017,1,31
2017-02-01,989.0230102539062,150110000.0,Bitcoin,0.0512742304773649,6.5886550546526295e-06,1110.7160766601562,1,2017,2,1
2017-02-02,1011.7999877929688,145820992.0,Bitcoin,0.0512951484776868,6.938644250842628e-06,1110.7160766601562,1,2017,2,2
2017-02-03,1029.9100341796875,201278000.0,Bitcoin,0.0473904357487399,5.116853477179262e-06,1110.7160766601562,1,2017,2,3
2017-02-04,1042.9000244140625,155064000.0,Bitcoin,0.041694818200713,6.725610228125564e-06,1110.7160766601562,1,2017,2,4
2017-02-05,1027.3399658203125,114208000.0,Bitcoin,0.0361762106911033,8.99534153317029e-06,1110.7160766601562,1,2017,2,5
2017-02-06,1038.1500244140625,111762000.0,Bitcoin,0.0361884979639316,9.288935634778032e-06,1110.7160766601562,1,2017,2,6
2017-02-07,1061.3499755859375,146007008.0,Bitcoin,0.0363213156777598,7.269171460495496e-06,1110.7160766601562,1,2017,2,7
2017-02-08,1063.0699462890625,201855008.0,Bitcoin,0.0362213680628473,5.266502708166956e-06,1110.7160766601562,1,2017,2,8
2017-02-09,994.3829956054688,407220000.0,Bitcoin,0.0384561973805012,2.44188152744332e-06,1110.7160766601562,1,2017,2,9
2017-02-10,988.6740112304688,190452000.0,Bitcoin,0.0267563334745289,5.191197841085779e-06,1110.7160766601562,1,2017,2,10
2017-02-11,1004.4500122070312,102261000.0,Bitcoin,0.0263318483905226,9.822415311868956e-06,1110.7160766601562,1,2017,2,11
2017-02-12,999.1810302734376,67530000.0,Bitcoin,0.026255117973278,1.4796105882917777e-05,1110.7160766601562,1,2017,2,12
2017-02-13,990.6420288085938,100607000.0,Bitcoin,0.0262888301455251,9.846651115812952e-06,1110.7160766601562,1,2017,2,13
2017-02-14,1004.5499877929688,137946000.0,Bitcoin,0.0263174855610819,7.282197293092723e-06,1110.7160766601562,1,2017,2,14
2017-02-15,1007.47998046875,89759400.0,Bitcoin,0.0263118109421439,1.1224228108351326e-05,1110.7160766601562,1,2017,2,15
2017-02-16,1027.43994140625,122277000.0,Bitcoin,0.0210308331780746,8.40256091829412e-06,1110.7160766601562,1,2017,2,16
2017-02-17,1046.2099609375,136474000.0,Bitcoin,0.0205005873444598,7.666002029232674e-06,1110.7160766601562,1,2017,2,17
2017-02-18,1054.4200439453125,99073504.0,Bitcoin,0.0204450975000488,1.0642805607696208e-05,1110.7160766601562,1,2017,2,18
2017-02-19,1047.8699951171875,77423296.0,Bitcoin,0.0204764045068877,1.353429845091053e-05,1110.7160766601562,1,2017,2,19
2017-02-20,1079.97998046875,109478000.0,Bitcoin,0.0205073183997381,9.86481284339091e-06,1110.7160766601562,1,2017,2,20
2017-02-21,1115.300048828125,186868992.0,Bitcoin,0.0210920291890169,5.968352677945226e-06,1110.7160766601562,1,2017,2,21
2017-02-22,1117.43994140625,136100000.0,Bitcoin,0.0210188446634769,8.210433074256062e-06,1110.7160766601562,1,2017,2,22
2017-02-23,1166.719970703125,189454000.0,Bitcoin,0.0208642051271117,6.158328516173451e-06,1110.7160766601562,1,2017,2,23
2017-02-24,1173.6800537109375,330759008.0,Bitcoin,0.0208718304769635,3.5484447145002246e-06,1110.7160766601562,1,2017,2,24
2017-02-25,1143.8399658203125,139960992.0,Bitcoin,0.0217212277541313,8.172562579581548e-06,1110.7160766601562,1,2017,2,25
2017-02-26,1165.199951171875,116486000.0,Bitcoin,0.0217895310109091,1.0002918386517478e-05,1110.7160766601562,1,2017,2,26
2017-02-27,1179.969970703125,131570000.0,Bitcoin,0.0217728582416742,8.968381627294407e-06,1110.7160766601562,1,2017,2,27
2017-02-28,1179.969970703125,184956000.0,Bitcoin,0.0217380075746706,6.3797333998525325e-06,1110.7160766601562,1,2017,2,28
2017-03-01,1222.5,229056992.0,Bitcoin,0.0222516969398577,5.337099685653778e-06,1110.7160766601562,1,2017,3,1
2017-03-02,1251.010009765625,368275008.0,Bitcoin,0.0207795986111087,3.396945170294111e-06,1110.7160766601562,1,2017,3,2
2017-03-03,1274.989990234375,315739008.0,Bitcoin,0.0207792616529856,4.038113625271081e-06,1110.7160766601562,1,2017,3,3
2017-03-04,1255.1500244140625,183270000.0,Bitcoin,0.0210550630753842,6.848638753828027e-06,1110.7160766601562,1,2017,3,4
2017-03-05,1267.1199951171875,134127000.0,Bitcoin,0.0209668106922769,9.447165709493148e-06,1110.7160766601562,1,2017,3,5
2017-03-06,1272.8299560546875,153656992.0,Bitcoin,0.0209461780750488,8.283579806473678e-06,1110.7160766601562,1,2017,3,6
2017-03-07,1223.5400390625,291256000.0,Bitcoin,0.0222129744717618,4.200909299937169e-06,1110.7160766601562,1,2017,3,7
2017-03-08,1150.0,332603008.0,Bitcoin,0.0252600312018532,3.4575754648617007e-06,1110.7160766601562,1,2017,3,8
2017-03-09,1188.489990234375,212283008.0,Bitcoin,0.0256217307441182,5.5986110307725386e-06,1110.7160766601562,1,2017,3,9
2017-03-10,1116.719970703125,563795968.0,Bitcoin,0.028200101412081,1.9807164898049163e-06,1110.7160766601562,1,2017,3,10
2017-03-11,1175.8299560546875,283320000.0,Bitcoin,0.0267495185725985,4.150183382940447e-06,1110.7160766601562,1,2017,3,11
2017-03-12,1221.3800048828125,227176000.0,Bitcoin,0.0273059724214176,5.37636020038566e-06,1110.7160766601562,1,2017,3,12
2017-03-13,1231.9200439453125,380276992.0,Bitcoin,0.0272598463158546,3.239533471289561e-06,1110.7160766601562,1,2017,3,13
2017-03-14,1240.0,245306000.0,Bitcoin,0.0271591610437298,5.054911009106993e-06,1110.7160766601562,1,2017,3,14
2017-03-15,1249.6099853515625,297804992.0,Bitcoin,0.0269878577228045,4.196067960309955e-06,1110.7160766601562,1,2017,3,15
2017-03-16,1187.81005859375,638568000.0,Bitcoin,0.0289281892305414,1.860115224367256e-06,1110.7160766601562,1,2017,3,16
2017-03-17,1100.22998046875,706598976.0,Bitcoin,0.0323887327666271,1.5570783681248215e-06,1110.7160766601562,1,2017,3,17
2017-03-18,973.8179931640624,621302016.0,Bitcoin,0.0387549871510628,1.5673826385331775e-06,1110.7160766601562,1,2017,3,18
2017-03-19,1036.739990234375,406648000.0,Bitcoin,0.0404381307464292,2.5494776569277977e-06,1110.7160766601562,1,2017,3,19
2017-03-20,1054.22998046875,286529984.0,Bitcoin,0.0405280378111484,3.679300734085652e-06,1110.7160766601562,1,2017,3,20
2017-03-21,1120.5400390625,337391008.0,Bitcoin,0.0420506909797707,3.321191177277908e-06,1110.7160766601562,1,2017,3,21
2017-03-22,1049.1400146484375,380840992.0,Bitcoin,0.0434271785953307,2.7547980303770382e-06,1112.2908166503903,1,2017,3,22
2017-03-23,1038.5899658203125,248540000.0,Bitcoin,0.0430154847395443,4.178763844130975e-06,1113.2821557617187,1,2017,3,23
2017-03-24,937.52001953125,491038016.0,Bitcoin,0.0464271049653704,1.909261582572153e-06,1111.7965563964844,1,2017,3,24
2017-03-25,972.7789916992188,435803008.0,Bitcoin,0.046206090139371,2.2321529999609795e-06,1110.653935546875,1,2017,3,25
2017-03-26,966.7249755859376,303668000.0,Bitcoin,0.046160088132951,3.18349307660319e-06,1109.1304345703124,1,2017,3,26
2017-03-27,1045.77001953125,372535008.0,Bitcoin,0.0486376224122422,2.8071724725834355e-06,1109.4990356445312,1,2017,3,27
2017-03-28,1047.1500244140625,326332000.0,Bitcoin,0.0484885214662752,3.208848732009312e-06,1109.6790356445313,1,2017,3,28
2017-03-29,1039.969970703125,298457984.0,Bitcoin,0.0484102898742002,3.484476966456776e-06,1109.251435546875,1,2017,3,29
2017-03-30,1026.4300537109375,352968992.0,Bitcoin,0.0484404153329278,2.907989304938541e-06,1108.5186376953125,1,2017,3,30
2017-03-31,1071.7900390625,447287008.0,Bitcoin,0.0486918566343165,2.3962020355898643e-06,1110.0667785644532,1,2017,3,31
2017-04-01,1080.5,289633984.0,Bitcoin,0.0484850012996897,3.730570512057038e-06,1111.9032983398438,1,2017,4,1
2017-04-02,1102.1700439453125,514187008.0,Bitcoin,0.0484997047845858,2.1435198221603302e-06,1113.857698974609,1,2017,4,2
2017-04-03,1143.81005859375,580444032.0,Bitcoin,0.0490241439538008,1.970577688003087e-06,1116.7502795410155,1,2017,4,3
2017-04-04,1133.25,436310016.0,Bitcoin,0.0489928515087898,2.597350412418678e-06,1119.6024389648437,1,2017,4,4
2017-04-05,1124.780029296875,414784000.0,Bitcoin,0.0489823441419682,2.7117247273204248e-06,1122.007039794922,1,2017,4,5
