Date,Price,Volume,Market,Volatility,Price-to-Volume Ratio,SMA_50,OpenMarket,year,month,day
2017-01-01,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,1
2017-01-02,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,2
2017-01-03,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,3
2017-01-04,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,4
2017-01-05,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,5
2017-01-06,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,6
2017-01-07,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,7
2017-01-08,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,8
2017-01-09,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,9
2017-01-10,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,10
2017-01-11,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,11
2017-01-12,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,12
2017-01-13,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,13
2017-01-14,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,14
2017-01-15,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,15
2017-01-16,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,16
2017-01-17,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,17
2017-01-18,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,18
2017-01-19,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,19
2017-01-20,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,20
2017-01-21,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,21
2017-01-22,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,22
2017-01-23,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,23
2017-01-24,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,24
2017-01-25,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,25
2017-01-26,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,26
2017-01-27,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,27
2017-01-28,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,28
2017-01-29,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,29
2017-01-30,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,30
2017-01-31,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,1,31
2017-02-01,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,1
2017-02-02,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,2
2017-02-03,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,3
2017-02-04,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,4
2017-02-05,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,5
2017-02-06,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,6
2017-02-07,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,7
2017-02-08,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,8
2017-02-09,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,9
2017-02-10,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,10
2017-02-11,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,11
2017-02-12,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,12
2017-02-13,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,13
2017-02-14,2.47,1.0,US Bonds,0.0184276097251735,2.47,2.4051,1,2017,2,14
2017-02-15,2.51,1.0,US Bonds,0.0186417128993932,2.51,2.4051,1,2017,2,15
2017-02-16,2.45,1.0,US Bonds,0.0178925749830916,2.45,2.4051,1,2017,2,16
2017-02-17,2.42,1.0,US Bonds,0.0176519132714061,2.42,2.4051,1,2017,2,17
2017-02-18,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,18
2017-02-19,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,19
2017-02-20,2.425,1.0,US Bonds,0.0173702685232254,2.425,2.4051,1,2017,2,20
2017-02-21,2.43,1.0,US Bonds,0.0173711954598498,2.43,2.4051,1,2017,2,21
2017-02-22,2.42,1.0,US Bonds,0.0173942806710269,2.42,2.4051,1,2017,2,22
2017-02-23,2.38,1.0,US Bonds,0.0176029578912648,2.38,2.4051,1,2017,2,23
2017-02-24,2.31,1.0,US Bonds,0.0181299310705901,2.31,2.4051,1,2017,2,24
2017-02-25,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,25
2017-02-26,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,2,26
2017-02-27,2.36,1.0,US Bonds,0.0184063135870411,2.36,2.4051,1,2017,2,27
2017-02-28,2.36,1.0,US Bonds,0.0181904764491785,2.36,2.4051,1,2017,2,28
2017-03-01,2.46,1.0,US Bonds,0.0184713147730731,2.46,2.4051,1,2017,3,1
2017-03-02,2.49,1.0,US Bonds,0.0182189609521773,2.49,2.4051,1,2017,3,2
2017-03-03,2.49,1.0,US Bonds,0.0182062154038302,2.49,2.4051,1,2017,3,3
2017-03-04,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,3,4
2017-03-05,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,3,5
2017-03-06,2.49,1.0,US Bonds,0.0173926942356867,2.49,2.4051,1,2017,3,6
2017-03-07,2.52,1.0,US Bonds,0.0169423302224889,2.52,2.4051,1,2017,3,7
2017-03-08,2.57,1.0,US Bonds,0.0167479825671423,2.57,2.4051,1,2017,3,8
2017-03-09,2.6,1.0,US Bonds,0.0167841975274715,2.6,2.4051,1,2017,3,9
2017-03-10,2.58,1.0,US Bonds,0.0167790141470863,2.58,2.4051,1,2017,3,10
2017-03-11,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,3,11
2017-03-12,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,3,12
2017-03-13,2.62,1.0,US Bonds,0.0169745731257073,2.62,2.4051,1,2017,3,13
2017-03-14,2.6,1.0,US Bonds,0.016736102823631,2.6,2.4051,1,2017,3,14
2017-03-15,2.51,1.0,US Bonds,0.017904346450874,2.51,2.4051,1,2017,3,15
2017-03-16,2.53,1.0,US Bonds,0.0179548458581035,2.53,2.4051,1,2017,3,16
2017-03-17,2.5,1.0,US Bonds,0.0180907257714744,2.5,2.4051,1,2017,3,17
2017-03-18,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,3,18
2017-03-19,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,3,19
2017-03-20,2.47,1.0,US Bonds,0.017446061983834,2.47,2.4051,1,2017,3,20
2017-03-21,2.43,1.0,US Bonds,0.0176474998155379,2.43,2.4051,1,2017,3,21
2017-03-22,2.4,1.0,US Bonds,0.0171598784111821,2.4,2.4051,1,2017,3,22
2017-03-23,2.41,1.0,US Bonds,0.0165323871197656,2.41,2.4051,1,2017,3,23
2017-03-24,2.4,1.0,US Bonds,0.0165345270432965,2.4,2.4051,1,2017,3,24
2017-03-25,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,3,25
2017-03-26,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,3,26
2017-03-27,2.38,1.0,US Bonds,0.0165252809588644,2.38,2.4051,1,2017,3,27
2017-03-28,2.42,1.0,US Bonds,0.0165376800082058,2.42,2.4051,1,2017,3,28
2017-03-29,2.39,1.0,US Bonds,0.0163623891059418,2.39,2.4051,1,2017,3,29
2017-03-30,2.42,1.0,US Bonds,0.0159908321459577,2.42,2.4051,1,2017,3,30
2017-03-31,2.4,1.0,US Bonds,0.0159044747870884,2.4,2.4051,1,2017,3,31
2017-04-01,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,4,1
2017-04-02,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2017,4,2
2017-04-03,2.35,1.0,US Bonds,0.0163378310375977,2.35,2.4051,1,2017,4,3
